city,Customer_Name,Customer_Segment,Discount,Number_of_Records,Order_Date,Order_ID,Order_Priority,Order_Quantity,Product_Base_Margin,Product_Category,Product_Container,Product_Sub_Category,Profit,Region,Row_ID,Sales,Ship_Date,Ship_Mode,Shipping_Cost,State,Unit_Price,Zip_Code
McKeesport,Jessica Myrick,Small Business,0.1,1,2012-01-01,28774,High,32,0.68,Office Supplies,Small Box,Storage and Organization,-111.8,East,4031,180.36,2012-01-02,Regular Air,4.69,Pennsylvania,5.98,15131
Bowie,Matt Collister,Home Office,0.08,1,2012-01-01,13729,Not Specified,9,0,Office Supplies,Large Box,Storage and Organization,-342.91,East,1914,872.48,2012-01-03,Express Air,35,Maryland,95.99,20715
Napa,Alan Schoenberger,Corporate,0,1,2012-01-02,37537,Low,4,0.56,Furniture,Jumbo Drum,Chairs and Chairmats,-193.08,West,5272,1239.06,2012-01-02,Delivery Truck,48.8,California,291.73,94559
Montebello,Elizabeth Moffitt,Consumer,0.08,1,2012-01-02,44069,Critical,43,0.39,Office Supplies,Wrap Bag,Paper,247.79,West,6225,614.8,2012-01-02,Regular Air,1.97,California,15.04,90640
Napa,Alan Schoenberger,Corporate,0.07,1,2012-01-02,37537,Low,43,0.69,Furniture,Jumbo Drum,Chairs and Chairmats,-1049.85,West,5273,4083.19,2012-01-04,Delivery Truck,45,California,100.98,94559
Montebello,Elizabeth Moffitt,Consumer,0.09,1,2012-01-02,44069,Critical,16,0.4,Office Supplies,Wrap Bag,Paper,26.71,West,6224,137.63,2012-01-04,Express Air,2.15,California,9.11,90640
Prior Lake,David Philippe,Consumer,0.06,1,2012-01-02,9285,Critical,3,0.36,Office Supplies,Small Box,Binders and Binder Accessories,-11.94,Central,1279,124.81,2012-01-04,Regular Air,2.99,Minnesota,40.98,55372
Napa,Alan Schoenberger,Corporate,0.05,1,2012-01-02,37537,Low,32,0.59,Office Supplies,Small Box,Storage and Organization,1438.49,West,5274,4902.38,2012-01-09,Regular Air,7.07,California,155.06,94559
Phenix City,Patrick Jones,Home Office,0.09,1,2012-01-03,40354,High,4,0.64,Furniture,Jumbo Box,Tables,-93.16,South,5705,698,2012-01-04,Delivery Truck,52.2,Alabama,212.6,36869
Draper,Larry Tron,Home Office,0.05,1,2012-01-03,9762,High,12,0.78,Furniture,Medium Box,Office Furnishings,-146.05,West,1336,262.76,2012-01-04,Regular Air,21.2,Utah,20.98,84020
Phenix City,Patrick Jones,Home Office,0.03,1,2012-01-03,40354,High,29,0.37,Office Supplies,Small Box,Binders and Binder Accessories,12.55,South,5704,172.51,2012-01-04,Regular Air,2.99,Alabama,5.58,36869
Lake Oswego,Alex Russell,Home Office,0.03,1,2012-01-03,7909,High,29,0.44,Office Supplies,Wrap Bag,Pens and Art Supplies,24.55,West,1074,122.23,2012-01-04,Regular Air,1.2,Oregon,4.26,97035
Kearney,Bill Donatelli,Corporate,0.03,1,2012-01-03,30016,Critical,15,0.4,Office Supplies,Small Box,Paper,-41.58,Central,4223,85.56,2012-01-05,Regular Air,5.66,Nebraska,5.28,68847
Layton,Ann Steele,Corporate,0,1,2012-01-03,11972,Not Specified,4,0.59,Technology,Jumbo Drum,Office Machines,-452.27,West,1663,896.49,2012-01-05,Delivery Truck,14.7,Utah,213.45,84041
Baton Rouge,Andy Reiter,Corporate,0.08,1,2012-01-03,9637,Low,12,0.66,Technology,Small Box,Computer Peripherals,-236.43,South,1315,522.49,2012-01-05,Regular Air,16.71,Louisiana,43.22,70802
Kearney,Bill Donatelli,Corporate,0.01,1,2012-01-03,30016,Critical,8,0.57,Technology,Small Box,Telephones and Communication,-212.55,Central,4224,754.66,2012-01-06,Regular Air,2.5,Nebraska,110.99,68847
